structure,measurement,fit_index,param_file,is_double_resonance,resonance_wavelength_nm,sigma_resonance_wavelength_nm,resonance_frequency_thz,sigma_resonance_frequency_thz,fwhm_nm,sigma_fwhm_nm,Q,sigma_Q,amplitude,background_b,background_c,R2,local_fsr_nm,sigma_local_fsr_nm,finesse,sigma_finesse,ng_fit,sigma_ng_fit,neff_estimated,sigma_neff_estimated
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,61,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1527.32142404,0.000296923411309,196.286422282,3.81596389472e-05,0.0252675182681,0.000876761477594,60446.0401625,2097.42638458,-0.000887206895888,-14.1210446382,0.00931282590916,0.860075310803,1.13415356589,0.000633241920887,44.88583144,1.55770194163,12.8037381896,0.0242359186828,2.74929435588,0.000354603950198
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,4,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1528.45557761,0.000559313702841,196.140772681,7.17745569145e-05,0.0193297148115,0.00159597793771,79072.8467809,6528.73154968,-0.000178631971039,29.7853325541,-0.0194188826425,0.841305343749,0.567076782944,0.000506620905298,29.337048605,2.42238561748,12.8037381896,0.0242359186828,2.74182815842,0.0003368702382
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,62,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1528.45557761,0.000559313702841,196.140772681,7.17745569145e-05,0.0193297148115,0.00159597793771,79072.8467809,6528.73154968,-0.000178631971039,29.7853325541,-0.0194188826425,0.841305343749,1.25832886501,0.000495119997596,65.0981598683,5.37495807397,12.8037381896,0.0242359186828,2.74182815842,0.0003368702382
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,6,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1530.97223534,0.000205133599202,195.818350641,2.62375254949e-05,0.00950966446353,0.000585657219816,160991.193875,9914.71942903,-0.000315332956449,-36.6733530469,0.0240190065638,0.859717958649,1.25832886501,0.000331312238964,132.321058207,8.1491299292,12.8037381896,0.0242359186828,2.7252608574,0.000297519585235
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,64,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1530.97223534,0.000205133599202,195.818350641,2.62375254949e-05,0.00950966446353,0.000585657219816,160991.193875,9914.71942903,-0.000315332956449,-36.6733530469,0.0240190065638,0.859717958649,2.76324611921,0.000186041682717,290.572409763,17.8950510823,12.8037381896,0.0242359186828,2.7252608574,0.000297519585235
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,11,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1536.49872757,0.000110483710421,195.114029462,1.40298989796e-05,0.00863121072764,0.000184419458262,178016.593043,3803.60585402,-0.000614081789188,7.89075952872,-0.00507424672081,0.864731355806,2.76324611921,0.000140267373547,320.145829641,6.84044092431,12.8037381896,0.0242359186828,2.68887964455,0.000211106929434
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,69,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1536.49872757,0.000110483710421,195.114029462,1.40298989796e-05,0.00863121072764,0.000184419458262,178016.593043,3803.60585402,-0.000614081789188,7.89075952872,-0.00507424672081,0.864731355806,1.85115220105,0.000114068090607,214.471904285,4.58255025067,12.8037381896,0.0242359186828,2.68887964455,0.000211106929434
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,15,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1540.20103198,0.000124202119036,194.645018264,1.56962131737e-05,0.00758443324337,0.000334043366741,203073.978312,8944.04541991,-0.000449340259421,18.6963228934,-0.012076615595,0.872844775605,24.7724213477,0.000117300116305,3266.21918247,143.855028256,12.8037381896,0.0242359186828,2.66450716403,0.000153217414319
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,97,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1586.04357027,0.000109445356805,189.019055731,1.30433100233e-05,0.00957854856765,0.000184364626039,165582.870836,3187.08245248,-0.000820399120263,-3.74565637013,0.00242773728398,0.812006511758,23.907593973,0.000145921967386,2495.95163653,48.0412256582,12.8037381896,0.0242359186828,2.36272312616,0.000563580024576
mple 72  Diameter 100 um Coupling Distance 0.05 um,5041,40,/home/david/QST_skola/fopra/experiment113/Plotter/Plots/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041/mple 72  Diameter 100 um Coupling Distance 0.05 um_5041_ParamFile.txt,False,1588.01621992,0.000213986316474,188.784254367,2.54388127107e-05,0.0214497381203,0.000884088827053,74034.2940793,3051.45414119,-0.00123620859583,1.27979807223,-0.000740373898427,0.922300285494,0.986324826353,0.000193228308641,45.9830707872,1.8952948564,12.8037381896,0.0242359186828,2.34973706126,0.000594424525591
